month,return,period
Oct-24,0,0
Nov-24,1.03975,1.03975
Dec-24,-0.058333333,-1.086783502
Jan-25,5.527583333,5.58917702
Feb-25,7.509528988,1.87813043
Mar-25,4.484693017,-2.813551504
Apr-25,7.283218921,2.678407548
May-25,14.80227827,7.008607146
Jun-25,18.13118634,2.899688164
Jul-25,19.33116657,1.015803079
Aug-25,28.01027129,7.273124838
Sep-25,29.21730137,0.942916591
Oct-25,41.63893443,9.612979783
